id,_price,type,_bedrooms,_bathrooms,lat,lng,_time_to_work_seconds_transit,_time_to_work_seconds_walking,cluster,_d_code
0,188663.82789567398,HOUSE,1,1,53.355420572612864,-6.191959263676795,3289,4945,0,D14
1,334829.4257450866,HOUSE,2,1,53.372840784748206,-6.184022010903007,3050,4851,0,D14
2,563417.5513031847,HOUSE,3,1,53.362142734786566,-6.18587336953501,3713,5188,0,D14
3,336668.9943247698,HOUSE,2,1,53.37815444177492,-6.201223895641442,2637,5350,0,D14
4,178593.00320921995,HOUSE,1,1,53.354292847408665,-6.209338386581828,2910,5113,0,D14
5,653611.5057515465,HOUSE,3,1,53.36624347421746,-6.186522328771396,2557,4764,0,D14
6,380626.6210411662,HOUSE,2,2,53.35326810168944,-6.1940466926666184,3599,5701,0,D14
7,534850.1368821908,HOUSE,3,1,53.36958140212289,-6.205463501299561,2735,5264,0,D14
8,758145.7679382098,APARTMENTS,4,2,53.36961344220939,-6.19743008956208,3673,6020,0,D14
9,178702.4752874708,APARTMENTS,1,2,53.3625826251615,-6.180387022364265,2160,4662,0,D14
10,631288.8939375529,HOUSE,3,2,53.35830900896582,-6.201689967152484,2561,5475,0,D14
11,536532.7755347881,HOUSE,3,2,53.37002836883125,-6.190710061996644,2613,4696,0,D14
12,618498.3766625244,HOUSE,3,1,53.35323489223467,-6.201680977880387,2755,5027,0,D14
13,492598.1537787557,HOUSE,3,2,53.358398141110634,-6.187868865929453,2705,5546,0,D14
14,535913.3482295573,APARTMENTS,3,1,53.37160546840912,-6.205840173949772,2971,5675,0,D14
15,380919.7640091557,HOUSE,2,3,53.35135606343834,-6.190589080096357,2577,4335,0,D14
16,416173.2462856396,HOUSE,2,2,53.36914000937444,-6.185753631956166,3241,5252,0,D14
17,653485.4163494494,APARTMENTS,3,2,53.36117321359978,-6.205262876218739,2345,5296,0,D14
18,760063.8154322222,HOUSE,4,1,53.374836225049016,-6.192712625103561,2846,5889,0,D14
19,796836.1899844983,HOUSE,4,1,53.37552189305714,-6.18697461937523,2778,5655,0,D14
20,624689.4619610119,HOUSE,3,1,53.35163386761188,-6.19620926165667,3064,5484,0,D14
21,546390.7553007395,HOUSE,3,1,53.35818552570715,-6.193752568197108,3028,4642,0,D14
22,399131.1680159889,HOUSE,2,1,53.36845881757813,-6.199709916124936,2046,5698,0,D14
23,420630.4989022407,HOUSE,2,1,53.36401303941916,-6.188130320050225,3476,5936,0,D14
24,202841.9800133315,APARTMENTS,1,1,53.36353340420884,-6.196584433751478,2773,4674,0,D14
25,203006.42498125305,APARTMENTS,1,4,53.35721731770692,-6.188865447033638,3050,5883,0,D14
26,614271.4212631963,HOUSE,3,1,53.359273819718,-6.199888603718925,2903,4655,0,D14
27,414388.25300876406,HOUSE,2,1,53.350228418032785,-6.200717833345923,3579,5305,0,D14
28,530051.3295789906,HOUSE,3,2,53.355471045244606,-6.1950714929292605,3341,4943,0,D14
29,209095.4419439004,HOUSE,1,1,53.357887553816525,-6.192410446231345,1867,5222,0,D14
30,563043.9944329,HOUSE,3,3,53.354231962974026,-6.201967177192346,3231,4899,0,D14
31,607126.4831898498,HOUSE,3,2,53.37570614135919,-6.186518054145215,3233,4128,0,D14
32,567432.2330019429,HOUSE,3,1,53.36776497336505,-6.198591120911686,3305,5131,0,D14
33,350329.4166755066,HOUSE,2,1,53.37573313585552,-6.203532215233589,3155,5037,0,D14
34,525261.504512766,HOUSE,3,1,53.3673133228192,-6.183868002934149,1832,5424,0,D14
